X,Y
0.1,1.637246933331e-37
0.1317944,0.0
0.1736977,1.364707591526e-34
0.2289238,8.07225935862e-32
0.3017088,0.0
0.3976354,0.0
0.5240612,1.931618948319e-31
0.6906834,9.488836754767e-28
0.9102821,1.229998189092e-25
1.199701,2.042688074583e-25
1.581139,3.019974222478e-25
2.083853,1.098918649343e-24
2.746401,1.303306631289e-24
3.619604,6.876582588225e-25
4.770435,8.070429395752e-25
6.287167,4.214986704789e-25
8.286135,1.856968827622e-25
10.92066,4.324439900484e-27
14.39282,5.360994977512e-26
18.96894,2.010802051682e-24
25.0,2.521413116457e-23
26.99438,4.235227553547e-23
29.14786,6.632756536749e-23
31.47314,2.860742927019e-22
33.98391,1.358907059173e-22
36.69498,8.246959624498e-22
39.62233,3.041631405786e-22
42.78321,6.611194582104e-22
46.19624,5.258705558708e-22
49.88156,5.373031463882e-22
53.86087,8.470059778378e-22
58.15763,8.800931088084e-22
62.79716,1.357275358885e-21
67.80681,1.318905202557e-21
73.21611,1.946751412908e-21
79.05694,2.229298240317e-21
85.36372,1.457683035175e-21
92.17363,1.947177641138e-21
99.52679,2.70296031715e-21
107.4666,3.000783570118e-21
116.0397,4.199109465127e-21
125.2968,3.501051740974e-21
135.2924,4.322557572741e-21
146.0854,2.837620445681e-21
157.7393,3.300934296795e-21
170.323,3.369589677934e-21
183.9106,2.881318783508e-21
198.5821,2.726962344597e-21
214.424,1.918034330144e-21
231.5297,2.56696276259e-21
250.0,2.204421097762e-21
259.4911,1.568330347367e-21
269.3425,2.688278752917e-21
279.5679,2.158124520821e-21
290.1815,2.090590646008e-21
301.198,2.61517289613e-21
312.6328,2.382008922624e-21
324.5017,1.855247707635e-21
336.8212,1.940177027119e-21
349.6084,1.499052550834e-21
362.881,1.698938691046e-21
376.6575,1.323098706437e-21
390.9571,1.202353504522e-21
405.7995,1.394777229876e-21
421.2054,1.326350380798e-21
437.1962,1.993541495864e-21
453.794,9.348136178723e-22
471.022,1.597291445077e-21
488.9041,7.719972924154e-22
507.465,8.030906500142e-22
526.7305,5.26231450665e-22
546.7275,4.319702682271e-22
567.4836,6.479275305608e-22
589.0278,7.471056414629e-22
611.3898,9.414064654252e-22
634.6008,5.234759033436e-22
658.693,3.970542641541e-22
683.6998,5.618216933487e-22
709.656,3.479590457369e-22
736.5976,3.159826039844e-22
764.562,3.774480749961e-22
793.5881,2.930924189926e-22
823.7162,2.43581652222e-22
854.988,2.653392905933e-22
887.447,1.842093985775e-22
921.1383,2.032274816228e-22
956.1087,1.287504677086e-22
992.4067,1.251713362263e-22
1030.083,1.168710697839e-22
1069.189,1.065554724164e-22
1109.78,1.030258729057e-22
1151.912,8.048005551811e-23
1195.644,7.480009901014e-23
1241.036,6.765614669528e-23
1288.151,6.565534326988e-23
1337.054,6.285430769162e-23
1387.815,5.841622080104e-23
1440.502,5.314878684815e-23
1495.19,4.9702956957e-23
1551.954,4.772574821665e-23
1610.873,4.555067009069e-23
1672.028,4.002504166451e-23
1735.506,3.772311206525e-23
1801.393,3.572766051084e-23
1869.782,3.29812257244e-23
1940.767,3.193018788902e-23
2014.447,2.77203669387e-23
2090.924,2.416525819947e-23
2170.304,2.183257466647e-23
2252.698,1.957095205046e-23
2338.22,1.873550996505e-23
2426.989,1.595819647406e-23
2519.128,1.445718963338e-23
2614.765,1.334897821269e-23
2714.033,1.193382505277e-23
2817.07,1.046624569526e-23
2924.018,9.218051779431e-24
3035.026,8.241851089443e-24
3150.249,7.387460864133e-24
3269.846,6.566970818878e-24
3393.983,5.782050798452e-24
3522.834,5.146931659477e-24
3656.576,4.556505347945e-24
3795.395,4.0032891704e-24
3939.485,3.566302129458e-24
4089.044,3.172110429959e-24
4244.282,2.782812527731e-24
4405.413,2.450511193e-24
4572.662,2.160807591119e-24
4746.26,1.904814723708e-24
4926.448,1.677882748956e-24
5113.478,1.465022332478e-24
5307.607,1.283120477666e-24
5509.107,1.120598206692e-24
5718.257,9.798165595733e-25
5935.346,8.517785570011e-25
6160.678,7.425078597289e-25
6394.564,6.476051248742e-25
6637.329,5.625475698156e-25
6889.31,4.886335717285e-25
7150.858,4.25259091783e-25
7422.336,3.693334008495e-25
7704.12,3.201587288599e-25
7996.602,2.772571685274e-25
8300.187,2.398908692805e-25
8615.298,2.078805315512e-25
8942.372,1.799601951813e-25
9281.863,1.556627733312e-25
9634.243,1.346013991609e-25
10000.0,1.163585244669e-25
